,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
191,JUV011,211215,192,3395.864433,,3395.864433,,3413.369196,7,0,nogo,1,normal,
192,JUV011,211215,193,3417.888678,3418.138844,,3418.141177,3418.141177,1,2,go,0,normal,2
193,JUV011,211215,194,3418.174344,3418.24201,3427.34514,,3432.596626,5,0,nogo,20,normal,
194,JUV011,211215,195,3436.860769,3437.173934,,3437.176268,3437.176268,4,2,go,0,normal,2
195,JUV011,211215,196,3437.209434,3437.270601,3441.747249,,3443.838241,8,-1,go,17,normal,
196,JUV011,211215,197,3443.859574,,3443.859574,,3461.282171,5,0,nogo,1,normal,
197,JUV011,211215,198,3465.25583,,,,3468.258147,9,-1,go,0,missed,
198,JUV011,211215,199,3482.053755,3482.333754,,3482.335921,3482.335921,4,2,go,0,normal,2
199,JUV011,211215,200,3482.36192,3482.421753,3483.706081,,3489.81989,5,0,nogo,14,normal,
200,JUV011,211215,201,3494.091873,3494.422708,,3494.424873,3494.424873,4,2,go,0,normal,2
201,JUV011,211215,202,3494.458205,3494.518538,3500.377515,,3505.628994,7,0,nogo,18,normal,
202,JUV011,211215,203,3509.496978,3509.80581,,3509.807811,3509.807811,2,2,go,0,normal,2
203,JUV011,211215,204,3509.848477,3509.902643,3516.53595,,3521.53927,16,-1,go,19,missed,
204,JUV011,211215,205,3530.377895,3530.377895,3535.69154,,3540.487354,7,-1,go,25,normal,
205,JUV011,211215,206,3540.529688,3547.773325,3547.780325,,3557.39512,6,0,nogo,2,normal,
206,JUV011,211215,207,3561.912602,3562.223601,,3562.225767,3562.225767,3,2,go,0,normal,2
207,JUV011,211215,208,3562.259267,3562.318934,3563.760428,3566.654916,3566.654916,2,2,go,16,normal,2
208,JUV011,211215,209,3566.695416,3566.769916,3571.168565,3573.313723,3573.313723,4,2,go,13,normal,2
209,JUV011,211215,210,3573.340056,3573.399723,3578.512869,3580.614694,3580.614694,3,2,go,21,normal,2
210,JUV011,211215,211,3580.633527,3580.72136,3588.28933,3590.390821,3590.390821,4,2,go,24,normal,2
211,JUV011,211215,212,3590.409655,3590.552821,3598.090291,,3603.341936,6,0,nogo,20,normal,
212,JUV011,211215,213,3607.027088,3607.337087,,3607.339254,3607.339254,4,2,go,0,normal,2
213,JUV011,211215,214,3607.372754,3607.439434,3611.064239,,3614.432892,8,-1,go,16,normal,
214,JUV011,211215,215,3614.439559,,3614.439559,,3631.551157,7,0,nogo,1,normal,
215,JUV011,211215,216,3635.804313,3636.05415,,3636.056308,3636.056308,2,2,go,0,normal,2
216,JUV011,211215,217,3636.089805,3636.157472,3640.011623,3642.319281,3642.319281,4,2,go,11,normal,2
217,JUV011,211215,218,3642.35279,3642.419113,3646.215431,,3651.466911,7,0,nogo,16,normal,
218,JUV011,211215,219,3655.390728,3655.634394,,3655.63656,3655.63656,1,2,go,0,normal,2
219,JUV011,211215,220,3655.670069,3655.737227,3660.903873,3663.100031,3663.100031,1,2,go,17,normal,2
220,JUV011,211215,221,3663.126197,3663.185864,3669.329346,3671.416997,3671.416997,2,2,go,21,normal,2
221,JUV011,211215,222,3671.450164,3671.583997,3679.393132,3681.587623,3681.587623,3,2,go,26,normal,2
222,JUV011,211215,223,3681.606631,3681.659956,3683.185617,3686.342271,3686.342271,4,2,go,16,normal,2
223,JUV011,211215,224,3686.368104,3686.47427,3695.298568,3697.41156,3697.41156,3,2,go,30,normal,2
224,JUV011,211215,225,3697.652232,3697.666226,3710.528174,,3713.649328,6,-1,go,57,normal,
225,JUV011,211215,226,3713.762995,3713.770161,3713.912827,3728.663602,3728.663602,1,2,go,2,normal,2
226,JUV011,211215,227,3728.696935,3728.763112,3730.407274,3733.052418,3733.052418,4,2,go,17,normal,2
227,JUV011,211215,228,3733.071251,3733.137417,3741.571883,3743.807041,3743.807041,2,2,go,26,normal,2
228,JUV011,211215,229,3743.833541,3743.886713,3745.19071,,3748.124524,7,-1,go,15,normal,
229,JUV011,211215,230,3748.145357,3748.231523,3757.195321,,3762.287134,8,-1,go,5,normal,
230,JUV011,211215,231,3762.294134,3776.792743,3762.294134,3776.794909,3776.794909,2,2,go,1,normal,2
231,JUV011,211215,232,3776.828242,3776.888909,3781.778889,,3783.790394,7,-1,go,22,normal,
232,JUV011,211215,233,3783.811548,3783.943714,3789.962023,3798.602655,3798.602655,3,2,go,5,normal,2
233,JUV011,211215,234,3798.642988,3798.703488,3806.612457,3808.99028,3808.99028,2,2,go,20,normal,2
234,JUV011,211215,235,3809.037947,3809.104787,3811.944269,,3814.075427,8,-1,go,21,normal,
235,JUV011,211215,236,3814.096593,3816.054752,3816.061419,3827.819705,3827.819705,1,2,go,2,normal,2
236,JUV011,211215,237,3827.860205,3827.941038,3836.843002,,3842.034482,6,-1,go,22,normal,
237,JUV011,211215,238,3842.041148,3848.670122,3862.905065,,3868.15655,7,0,nogo,56,normal,
238,JUV011,211215,239,3870.184036,3870.184036,3870.333035,3872.768025,3872.768025,2,2,go,1,normal,2
239,JUV011,211215,240,3872.808858,3872.868858,3874.484852,3877.750672,3877.750672,3,2,go,16,normal,2
240,JUV011,211215,241,3877.776839,3877.907005,3883.147817,,3888.151297,15,-1,go,23,missed,
241,JUV011,211215,242,3888.254632,3888.254632,3888.282964,,3905.487894,6,0,nogo,1,normal,
242,JUV011,211215,243,3909.253046,,,,3912.503367,8,0,nogo,0,normal,
243,JUV011,211215,244,3916.422184,3916.709016,,3916.711186,3916.711186,1,2,go,0,normal,2
244,JUV011,211215,245,3916.744349,3916.810849,3924.501318,,3929.752964,8,0,nogo,19,normal,
245,JUV011,211215,246,3934.096613,,,,3937.346934,8,0,nogo,0,normal,
246,JUV011,211215,247,3941.463084,3941.758249,,3941.760416,3941.760416,2,2,go,0,normal,2
247,JUV011,211215,248,3941.786749,3941.854416,3946.59573,3948.865221,3948.865221,2,2,go,16,normal,2
248,JUV011,211215,249,3948.898388,3948.96572,3953.891034,3956.134525,3956.134525,2,2,go,19,normal,2
249,JUV011,211215,250,3956.175026,3956.256358,3962.647834,,3967.899478,8,0,nogo,21,normal,
250,JUV011,211215,251,3972.306628,3972.652793,,3972.654959,3972.654959,4,2,go,0,normal,2
251,JUV011,211215,252,3972.695792,3972.763459,3974.114953,,3980.177596,5,0,nogo,11,normal,
252,JUV011,211215,253,3980.67776,3980.67776,3980.684427,,3987.55791,7,0,nogo,1,normal,
